count,mean,pct100,pct25,pct50,pct75,time,zoneIds
0,,,,0.0,,2019-12-05,[36520]
0,,,,0.0,,2019-12-06,[36520]
0,,,,0.0,,2019-12-07,[36520]
0,,,,0.0,,2019-12-08,[36520]
0,,,,0.0,,2019-12-09,[36520]
0,,,,0.0,,2019-12-10,[36520]
0,,,,0.0,,2019-12-11,[36520]
0,,,,0.0,,2019-12-12,[36520]
0,,,,0.0,,2019-12-13,[36520]
0,,,,0.0,,2019-12-14,[36520]
0,,,,0.0,,2019-12-15,[36520]
0,,,,0.0,,2019-12-16,[36520]
0,,,,0.0,,2019-12-17,[36520]
0,,,,0.0,,2019-12-18,[36520]
0,,,,0.0,,2019-12-19,[36520]
0,,,,0.0,,2019-12-20,[36520]
0,,,,0.0,,2019-12-21,[36520]
0,,,,0.0,,2019-12-22,[36520]
0,,,,0.0,,2019-12-23,[36520]
0,,,,0.0,,2019-12-24,[36520]
0,,,,0.0,,2019-12-25,[36520]
0,,,,0.0,,2019-12-26,[36520]
0,,,,0.0,,2019-12-27,[36520]
0,,,,0.0,,2019-12-28,[36520]
0,,,,0.0,,2019-12-29,[36520]
0,,,,0.0,,2019-12-30,[36520]
0,,,,0.0,,2019-12-31,[36520]
0,,,,0.0,,2020-01-01,[36520]
0,,,,0.0,,2020-01-02,[36520]
0,,,,0.0,,2020-01-03,[36520]
0,,,,0.0,,2020-01-04,[36520]
0,,,,0.0,,2020-01-05,[36520]
0,,,,0.0,,2020-01-06,[36520]
0,,,,0.0,,2020-01-07,[36520]
0,,,,0.0,,2020-01-08,[36520]
0,,,,0.0,,2020-01-09,[36520]
0,,,,0.0,,2020-01-10,[36520]
0,,,,0.0,,2020-01-11,[36520]
0,,,,0.0,,2020-01-12,[36520]
